request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_55,176241.19,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_56,881.56,not_affordable,not_recommended,none,2025-02-03,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_57,21214.6,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000.0,2024-12-07,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_59,140600.0,not_affordable,not_recommended,none,2025-05-04,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_61,29062.0,not_affordable,not_recommended,none,2024-03-03,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_64,60133.009999999995,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_65,13024.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.0,2026-04-03,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_67,792.54,not_affordable,not_recommended,none,2024-09-15,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_68,2091.6,not_affordable,not_recommended,none,2025-02-07,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_70,93360.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_71,7485050.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330.0,2026-07-05,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400.0,2023-01-20,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.0,2025-08-04,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_75,28270.0,not_affordable,not_recommended,none,2026-04-06,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_76,1538.8000000000002,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700.0,2025-11-05,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200.0,2025-10-02,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_80,152115.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076.0,2026-07-03,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_82,1011.4000000000001,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_83,28330.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_84,56565.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_85,2422120.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300.0,2025-08-03,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_87,92850.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_88,15557.89,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_89,13756000.0,not_affordable,not_recommended,none,2025-11-04,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.0,2026-07-06,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_91,1927.2,affordable_now,full_payment,2024-09-03:1927.2,2024-09-03,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034.0,2025-02-05,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_94,572.0,affordable_now,full_payment,2024-12-04:572.0,2024-12-04,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_95,137865.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_96,90200.0,not_affordable,not_recommended,none,2026-01-03,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_97,8865.89,not_affordable,not_recommended,none,2024-03-15,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_98,17244.699999999997,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062.0,2026-07-04,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_100,34836.130000000005,not_affordable,not_recommended,none,2024-06-15,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.0,2025-11-03,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_102,1716.0,not_affordable,not_recommended,none,2026-04-05,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_103,35759.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204.0,2025-02-04,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500.0,2026-06-08,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_106,1401.6999999999998,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_107,2534.4,not_affordable,not_recommended,none,2025-05-05,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_108,7836.4000000000015,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_110,22352.0,not_affordable,not_recommended,none,2025-08-06,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.0,2026-04-03,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
